Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
MMM,3M,Industrials,Industrial Conglomerates,Saint Paul Minnesota,1957-03-04,0000066740,1902
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AOS,A. O. Smith,Industrials,Building Products,Milwaukee Wisconsin,2017-07-26,0000091142,1916
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ABT,Abbott Laboratories,Health Care,Health Care Equipment,North Chicago Illinois,1957-03-04,0000001800,1888
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",2012-12-31,0001551152,2013 (1888)
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ACN,Accenture,Information Technology,IT Consulting & Other Services,Dublin Ireland,2011-07-06,0001467373,1989
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ADBE,Adobe Inc.,Information Technology,Application Software,San Jose California,1997-05-05,0000796343,1982
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMD,AMD,Information Technology,Semiconductors,Santa Clara California,2017-03-20,0000002488,1969
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,Arlington Virginia,1998-10-02,0000874761,1981
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AFL,Aflac,Financials,Life & Health Insurance,Columbus Georgia,1999-05-28,0000004977,1955
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,Santa Clara California,2000-06-05,0001090872,1999
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
APD,Air Products,Materials,Industrial Gases,"Allentown, Pennsylvania",1985-04-30,0000002969,1940
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ABNB,Airbnb,Consumer Discretionary,Hotels Resorts & Cruise Lines,San Francisco California,2023-09-18,0001559720,2008
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,Cambridge Massachusetts,2007-07-12,0001086222,1998
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ALB,Albemarle Corporation,Materials,Specialty Chemicals,Charlotte North Carolina,2016-07-01,0000915913,1994
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,Pasadena California,2017-03-20,0001035443,1994
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ALGN,Align Technology,Health Care,Health Care Supplies,Tempe Arizona,2017-06-19,0001097149,1997
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ALLE,Allegion,Industrials,Building Products,Dublin Ireland,2013-12-02,0001579241,1908
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
LNT,Alliant Energy,Utilities,Electric Utilities,Madison Wisconsin,2016-07-01,0000352541,1917
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ALL,Allstate,Financials,Property & Casualty Insurance,Northbrook Illinois,1995-07-13,0000899051,1931
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,Mountain View California,2014-04-03,0001652044,1998
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,0001652044,1998
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,0000764180,1985
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMZN,Amazon (company),Consumer Discretionary,Broadline Retail,"Seattle, Washington",2005-11-18,0001018724,1994
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",2019-06-07,0001748790,2019 (1860)
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AEE,Ameren,Utilities,Multi-Utilities,St. Louis Missouri,1991-09-19,0001002910,1902
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AAL,American Airlines Group,Industrials,Passenger Airlines,Fort Worth Texas,2015-03-23,0000006201,1934
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,0000004904,1906
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AXP,American Express,Financials,Consumer Finance,New York City New York,1976-06-30,0000004962,1850
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AIG,American International Group,Financials,Multi-line Insurance,New York City New York,1980-03-31,0000005272,1919
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMT,American Tower,Real Estate,Telecom Tower REITs,"Boston, Massachusetts",2007-11-19,0001053507,1995
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AWK,American Water Works,Utilities,Water Utilities,Camden New Jersey,2016-03-04,0001410636,1886
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,0000820027,1894
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AME,Ametek,Industrials,Electrical Components & Equipment,Berwyn Pennsylvania,2013-09-23,0001037868,1930
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,0000318154,1980
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
APH,Amphenol,Information Technology,Electronic Components,Wallingford Connecticut,2008-09-30,0000820313,1932
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,0000006281,1965
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ANSS,Ansys,Information Technology,Application Software,Canonsburg Pennsylvania,2017-06-19,0001013462,1969
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AON,Aon (company),Financials,Insurance Brokers,"London, UK",1996-04-23,0000315293,1982 (1919)
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,Houston Texas,1997-07-28,0001841666,1954
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AAPL,Apple Inc.,Information Technology,Technology Hardware Storage & Peripherals,Cupertino California,1982-11-30,0000320193,1977
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,Santa Clara California,1995-03-16,0000006951,1967
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,Dublin Ireland,2012-12-24,0001521332,1994
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,Hamilton Bermuda,2022-11-01,0000947484,1995
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,Chicago Illinois,1957-03-04,0000007084,1902
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ANET,Arista Networks,Information Technology,Communications Equipment,Santa Clara California,2018-08-28,0001596532,2004
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,Rolling Meadows Illinois,2016-05-31,0000354190,1927
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",2007-04-10,0001267238,1892
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
T,AT&T,Communication Services,Integrated Telecommunication Services,Dallas Texas,1983-11-30,0000732717,1983 (1885)
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ATO,Atmos Energy,Utilities,Gas Utilities,Dallas Texas,2019-02-15,0000731802,1906
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ADSK,Autodesk,Information Technology,Application Software,San Francisco California,1989-12-01,0000769397,1982
Symbol,Company Name,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added to S&P500,CIK,Founded
ADP,ADP (company),Industrials,Human Resource & Employment Services,Roseland New Jersey,1981-03-31,0000008670,1949
